against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,base_total,capture_rate,classfication,defense,experience_growth,height_m,hp,japanese_name,name,percentage_male,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary
1.0,1.0,0.9797101449275363,1.0753968253968254,1.0513117283950617,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,49,5120,70,318,45.0,Seed,49,1059860,0.7,45,Fushigidaneフシギダネ,Bulbasaur,88.1,65,65,45,1,1,6.9,1,0
1.0,1.0,1.0,1.0753968253968254,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,62,5120,70,405,45.0,Seed,63,1059860,1.0,60,Fushigisouフシギソウ,Ivysaur,88.1,80,80,60,1,1,13.0,1,0
1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,100,5120,70,625,45.0,Seed,123,1059860,2.0,80,Fushigibanaフシギバナ,Venusaur,88.1,122,120,80,1,1,100.0,1,0
0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,52,5120,70,309,45.0,Lizard,43,1059860,0.6,39,Hitokageヒトカゲ,Charmander,88.1,60,50,65,2,0,8.5,1,0
0.5,1.0568350668647846,1.0,1.0,0.5,1.0662450066577895,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,64,5120,70,405,45.0,Flame,58,1059860,1.1,58,Lizardoリザード,Charmeleon,88.1,80,65,80,2,0,19.0,1,0
0.25,1.0,0.9797101449275363,2.0,0.5,0.5,0.5,1.0,1.0,0.25,0.0,1.0,1.0,1.0,1.0,4.0,0.5,2.0,104,5120,70,634,45.0,Flame,78,1059860,1.7,78,Lizardonリザードン,Charizard,88.1,159,115,100,2,3,90.5,1,0
0.9975795297372061,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,48,5120,70,314,45.0,Tiny Turtle,65,1059860,0.5,44,Zenigameゼニガメ,Squirtle,88.1,50,64,43,3,0,9.0,1,0
1.0,1.0,1.0,2.0,1.0513117283950617,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,63,5120,70,405,45.0,Turtle,80,1059860,1.0,59,Kameilカメール,Wartortle,88.1,65,80,58,3,0,22.5,1,0
1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,103,5120,70,630,45.0,Shellfish,120,1059860,1.6,79,Kamexカメックス,Blastoise,88.1,135,115,78,3,0,85.5,1,0
1.0,1.0568350668647846,1.0,1.0,1.0513117283950617,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,30,3840,70,195,255.0,Worm,35,1000000,0.3,45,Caterpieキャタピー,Caterpie,50.0,20,20,45,4,0,2.9,1,0
